File Name; Single; Multi; Spark
0.csv;0;1;10
1.csv;1;2;8
2.csv;2;2;8
3.csv;5;4;12
4.csv;7;6;14
5.csv;12;8;19
6.csv;12;10;20
7.csv;13;10;20
8.csv;14;11;21
9.csv;18;12;24
10.csv;13;10;19
11.csv;15;11;19
12.csv;16;12;21
13.csv;17;12;21
14.csv;17;13;21
15.csv;19;14;22
16.csv;20;14;23
17.csv;22;16;25
18.csv;23;16;26
19.csv;23;17;26
20.csv;22;17;26
21.csv;25;19;28
22.csv;25;20;29
23.csv;30;22;33
24.csv;31;21;32
25.csv;33;23;34
26.csv;44;28;46
27.csv;49;30;51
28.csv;47;29;50
29.csv;47;31;53
30.csv;46;30;50
31.csv;53;35;57
32.csv;49;33;53
33.csv;50;34;54
34.csv;52;35;53
35.csv;56;37;60
36.csv;55;37;58
37.csv;59;39;63
38.csv;64;41;65
39.csv;63;41;69
40.csv;67;43;71
