File Name; Single; Multi; Spark
0.csv; 8; 0; 134
1.csv; 14; 16; 44
10.csv; 115; 139; 52
11.csv; 90; 96; 53
12.csv; 116; 96; 58
13.csv; 112; 106; 60
14.csv; 124; 152; 60
15.csv; 156; 149; 75
16.csv; 166; 131; 59
17.csv; 151; 144; 106
18.csv; 184; 123; 65
19.csv; 137; 160; 62
2.csv; 12; 12; 48
20.csv; 134; 173; 62
21.csv; 154; 153; 67
22.csv; 156; 155; 74
23.csv; 182; 375; 88
24.csv; 172; 210; 119
25.csv; 225; 256; 154
26.csv; 189; 197; 383
27.csv; 192; 203; 384
28.csv; 219; 269; 372
29.csv; 210; 274; 392
3.csv; 27; 16; 36
30.csv; 208; 376; 477
31.csv; 234; 353; 586
32.csv; 265; 376; 656
33.csv; 242; 442; 743
34.csv; 259; 479; 856
35.csv; 278; 548; 1039
36.csv; 273; 518; 1263
37.csv; 269; 614; 1777
38.csv; 278; 840; 2446
4.csv; 42; 30; 56
5.csv; 40; 33; 45
6.csv; 40; 40; 48
7.csv; 50; 44; 62
8.csv; 62; 64; 65
9.csv; 93; 71; 49
